"Date","IE","Firefox","Chrome","Opera","Safari","Other"
2008-3,78.6,17.19,0.39,3.11,0.65,0.06
2008-4,76.77,18.72,0.84,3.06,0.55,0.07
2009-1,75.07,20.67,1.18,2.39,0.55,0.14
2009-2,69.71,23.76,2.36,2.62,0.91,0.64
2009-3,66.46,26.47,3.53,2.53,0.67,0.34
2009-4,62.09,28.53,5.19,2.64,0.76,0.79
2010-1,59.13,29.55,7.32,2.43,0.94,0.63
2010-2,57.45,30.1,8.82,2.09,1,0.54
2010-3,54.04,31.45,10.9,2.2,1.06,0.34
2010-4,51.02,31.98,13.07,2.31,1.2,0.41
2011-1,46.62,33.28,15.92,2.49,1.35,0.34
2011-2,42.25,35.32,17.78,2.88,1.39,0.38
2011-3,36.85,35.98,22.17,2.88,1.71,0.41
2011-4,33.43,35.87,25.12,2.9,2.16,0.52
2012-1,29.41,36.95,28.07,2.59,2.31,0.67
2012-2,23.27,40.66,30.2,2.67,2.31,0.89
2012-3,21.36,38.82,33.25,2.72,2.75,1.1
2012-4,20.41,37.16,35.87,2.21,3.15,1.21
2013-1,19.13,37.07,37.44,1.86,3.16,1.35
