"Date","IE","Firefox","Chrome","Safari","Opera","Other"
2008-3,80.98,15.68,0.51,0.78,1.98,0.07
2008-4,75.8,19.78,1.07,0.74,2.45,0.16
2009-1,71.04,23.99,1.51,0.78,2.37,0.32
2009-2,72.32,22.3,1.94,0.8,2.09,0.55
2009-3,70.03,24.17,2.7,0.92,1.86,0.32
2009-4,66.63,25.97,3.88,1.01,1.76,0.75
2010-1,64.1,26.22,5.69,1.11,1.63,1.25
2010-2,61.1,27.56,7.73,1.14,1.47,1
2010-3,58.19,28.33,10.03,1.23,1.48,0.75
2010-4,54.91,28.58,13.04,1.3,1.51,0.67
2011-1,51.85,28.35,16.24,1.4,1.54,0.62
2011-2,49.06,28.13,19.11,1.52,1.48,0.7
2011-3,45.84,26.86,23.32,1.78,1.49,0.71
2011-4,41.76,24.19,29.33,2.21,1.7,0.8
2012-1,36.54,23.4,34.83,2.51,1.8,0.91
2012-2,32.29,23.98,37.51,2.87,1.64,1.72
2012-3,31.48,21.59,39.84,3.15,1.53,2.4
2012-4,32.17,19.8,41.28,3.28,1.35,2.12
2013-1,30.32,19.23,43.16,3.58,1.12,2.59
