"Date","IE","Firefox","Chrome","Safari","Opera","Other"
2008-3,57.26,34.6,0.55,2.45,4.94,0.2
2008-4,54.13,34.88,1.07,2.34,7.21,0.37
2009-1,49.93,38,1.54,2.37,7.3,0.86
2009-2,46.78,38.8,2.46,2.57,8.39,1.01
2009-3,46.38,39.52,3.34,2.97,6.86,0.93
2009-4,46.35,40.28,4.51,3.43,4.26,1.17
2010-1,45.27,38.89,6.71,3.71,4.31,1.1
2010-2,43.54,38.48,8.91,3.86,4.32,0.9
2010-3,41.61,38.3,10.76,4.11,4.45,0.76
2010-4,38.65,38.42,13.33,4.6,4.4,0.6
2011-1,36.42,37.53,16.32,4.89,4.27,0.57
2011-2,35.29,35.94,18.96,5.12,4.02,0.66
2011-3,34.9,33.67,21.61,5.37,3.77,0.68
2011-4,32.35,32.73,24.38,5.79,4.01,0.73
2012-1,30.64,30.8,27.72,6.38,3.75,0.71
2012-2,28.65,30.44,29.51,7.1,3.41,0.88
2012-3,27.38,29.54,31.09,7.54,3.37,1.08
2012-4,25.28,29.47,33.25,7.92,2.86,1.23
2013-1,24.43,28.69,34.56,8.36,2.37,1.59
