"Date","IE","Firefox","Chrome","Safari","Opera","Other"
2008-3,66.67,26.56,0.45,5.45,0.58,0.29
2008-4,71.93,21.69,0.88,4.63,0.46,0.41
2009-1,69.17,23.01,1.31,4.99,0.49,1.02
2009-2,60.94,28.78,2.37,6.01,0.61,1.28
2009-3,56.47,31.04,3.4,7.11,0.74,1.24
2009-4,54.48,30.96,4.68,7.86,0.77,1.26
2010-1,54.05,29.21,6.54,8.46,0.68,1.06
2010-2,53.18,28.79,8.13,8.33,0.63,0.94
2010-3,53.15,27.31,9.44,8.57,0.67,0.86
2010-4,50.63,26.58,11.56,9.82,0.65,0.76
2011-1,48.4,26,13.89,10.43,0.59,0.68
2011-2,47.25,24.88,16.01,10.56,0.59,0.7
2011-3,45.18,24.02,18.57,10.94,0.58,0.72
2011-4,47.2,21.1,19.7,10.68,0.52,0.79
2012-1,42.6,21.05,22.64,12.07,0.72,0.91
2012-2,39.37,21.26,25,12.33,0.71,1.34
2012-3,40.59,18.91,25.59,12.74,0.64,1.52
2012-4,39.05,18.12,27.17,13.66,0.46,1.54
2013-1,39.69,16.75,27.42,13.92,0.35,1.88
