"Date","IE","Firefox","Chrome","Safari","Opera","Other"
2008-3,67.99,25.94,0.51,3.05,2.33,0.19
2008-4,67.9,25.32,1.07,2.56,2.85,0.3
2009-1,64.04,28.16,1.55,2.63,2.94,0.68
2009-2,61.12,29.57,2.45,2.78,3.19,0.88
2009-3,59.03,31.05,3.37,3.19,2.65,0.71
2009-4,56.73,32,4.78,3.54,1.99,0.97
2010-1,54.67,31.53,6.79,4.03,1.98,1
2010-2,52.96,31.51,8.64,4.15,1.89,0.85
2010-3,51.35,31.08,10.7,4.24,1.94,0.69
2010-4,48.1,31.06,13.54,4.69,2.03,0.59
2011-1,45.51,30.34,16.55,5.06,1.99,0.55
2011-2,44,29.11,19.42,5.04,1.83,0.6
2011-3,42,27.42,22.96,5.31,1.68,0.62
2011-4,39.84,25.65,25.95,5.98,1.87,0.71
2012-1,36.02,24.88,29.69,6.7,1.92,0.78
2012-2,32.84,25,32.13,7.07,1.75,1.2
2012-3,32.53,22.99,33.87,7.4,1.66,1.55
2012-4,31.37,22.2,35.62,7.85,1.43,1.52
2013-1,30.7,21.49,36.42,8.32,1.2,1.88
