"Date","IE 8.0","Chrome (all)","IE 7.0","Firefox 3.6","Firefox 5+","IE 9.0","IE 6.0","Firefox 3.5","Firefox 3.0","Safari 5.0","Firefox 4.0","Safari 5.1","Safari iPad","Safari 4.0","Firefox 2.0","Opera 11.6","Opera 9.6","Opera 10.6","Safari 6.0","Opera 11.5","Other"
2008-07,0.04,0,40.08,0,0,0,28.36,0,9.13,0,0,0,0,0,16.36,0,0,0,0,0,6.03
2008-08,0.06,0,39.64,0,0,0,29.14,0,11.62,0,0,0,0,0,13.89,0,0,0,0,0,5.65
2008-09,0.34,1.03,38.79,0,0,0,27.96,0,18.13,0,0,0,0,0,7.11,0,0,0,0,0,6.63
2008-10,0.57,1.02,39.67,0,0,0,27.38,0,18.72,0,0,0,0,0,6.31,0,0.32,0,0,0,6.02
2008-11,0.76,0.93,41.1,0,0,0,26.23,0,18.88,0,0,0,0,0,5.87,0,1.34,0,0,0,4.89
2008-12,0.82,1.21,41.93,0,0,0,25.05,0,20.02,0,0,0,0,0,4.67,0,1.49,0,0,0,4.8
2009-01,0.89,1.38,41.37,0,0,0,23.11,0,22.55,0,0,0,0,0,3.9,0,1.75,0,0,0,5.05
2009-02,1.18,1.52,40.76,0,0,0,22.45,0,24.09,0,0,0,0,0.04,3.18,0,1.88,0,0,0,4.9
2009-03,1.72,1.73,39.01,0,0,0,21.75,0,25.83,0,0,0,0,0.38,2.93,0,1.98,0,0,0,4.68
2009-04,3.66,2.07,36.78,0,0,0,21.4,0,26.33,0,0,0,0,0.42,2.64,0,2.05,0,0,0,4.64
2009-05,6.3,2.42,34.31,0,0,0,21.45,0,25.99,0,0,0,0,0.45,2.35,0,2.25,0,0,0,4.48
2009-06,8.88,2.82,29.97,0,0,0,20.61,0.02,27.76,0,0,0,0,1.06,2.18,0,2.4,0,0,0,4.29
2009-07,12.65,3.01,27.62,0,0,0,19.82,5.44,22.93,0,0,0,0,1.76,1.81,0,1.86,0,0,0,3.11
2009-08,15.09,3.38,25.74,0,0,0,17.83,11.47,17.87,0,0,0,0,2.21,1.65,0,1.87,0,0,0,2.87
2009-09,16.72,3.69,24.74,0,0,0,16.89,16.47,13.09,0,0,0,0,2.5,1.53,0,1.17,0,0,0,3.21
2009-10,18.18,4.17,24.05,0,0,0,15.71,18.17,12.04,0,0,0,0,2.83,1.38,0,0.65,0,0,0,2.82
2009-11,19.66,4.66,22.3,0,0,0,14.6,19.9,10.9,0,0,0,0,3.11,1.22,0,0.51,0,0,0,3.15
2009-12,20.45,5.45,21.21,0,0,0,14.04,21.67,9.14,0,0,0,0,3.05,1,0,0.42,0,0,0,3.57
